Exercise Name | Primary Muscles | Secondary Muscles | Equipment | Category
Cable Deadlifts | quadriceps | forearms,glutes,hamstrings,lower back | cable | strength
Incline Push-Up Wide | chest | abdominals,shoulders,triceps | body only | strength
Dumbbell Lying Supination | forearms |  | dumbbell | strength
Hang Clean - Below the Knees | quadriceps | calves,forearms,glutes,hamstrings,lower back,shoulders,traps | barbell | olympic weightlifting
Suspended Push-Up | chest | shoulders,triceps | other | strength
Plate Twist | abdominals |  | other | strength
Parallel Bar Dip | triceps | chest,shoulders | other | strength
Kettlebell Turkish Get-Up (Lunge style) | shoulders | abdominals,hamstrings,quadriceps,triceps | kettlebells | strength
Seated Side Lateral Raise | shoulders |  | dumbbell | strength
Machine Shoulder (Military) Press | shoulders | triceps | machine | strength
Neck-SMR | neck |  | other | stretching
Platform Hamstring Slides | hamstrings | glutes | other | strength
Narrow Stance Squats | quadriceps | calves,glutes,hamstrings,lower back | barbell | strength
Floor Press with Chains | triceps | chest,shoulders | barbell | powerlifting
Good Morning off Pins | hamstrings | abdominals,glutes,lower back | barbell | powerlifting
Adductor/Groin | adductors |  | None | stretching
Gorilla Chin/Crunch | abdominals | biceps,lats | body only | strength
Jogging, Treadmill | quadriceps | glutes,hamstrings | machine | cardio
Lying Bent Leg Groin | adductors |  | other | stretching
Heavy Bag Thrust | chest | abdominals,shoulders,triceps | other | plyometrics
Standing Bradford Press | shoulders | triceps | barbell | strength
Dumbbell Rear Lunge | quadriceps | calves,glutes,hamstrings | dumbbell | strength
Neck Press | chest | shoulders,triceps | barbell | strength
Pullups | lats | biceps,middle back | body only | strength
Barbell Squat | quadriceps | calves,glutes,hamstrings,lower back | barbell | strength
Power Snatch | hamstrings | calves,glutes,lower back,quadriceps,shoulders,traps,triceps | barbell | olympic weightlifting
Decline Dumbbell Bench Press | chest | shoulders,triceps | dumbbell | strength
Bodyweight Flyes | chest | abdominals,shoulders,triceps | e-z curl bar | strength
Exercise Ball Crunch | abdominals |  | exercise ball | strength
Medicine Ball Full Twist | abdominals | shoulders | medicine ball | plyometrics
Close-Grip Barbell Bench Press | triceps | chest,shoulders | barbell | strength
Split Jerk | quadriceps | glutes,hamstrings,shoulders,triceps | barbell | olympic weightlifting
Bent Over Low-Pulley Side Lateral | shoulders | lower back,middle back,traps | cable | strength
JM Press | triceps | chest,shoulders | barbell | strength
Linear Depth Jump | quadriceps | calves,glutes,hamstrings | other | plyometrics
Bosu Ball Cable Crunch With Side Bends | abdominals |  | cable | strength
Standing Cable Lift | abdominals | shoulders | cable | strength
Smith Machine Stiff-Legged Deadlift | hamstrings | glutes,lower back | machine | strength
Hanging Pike | abdominals |  | body only | strength
Chest Push with Run Release | chest | abdominals,shoulders,triceps | medicine ball | plyometrics
Dumbbell Bicep Curl | biceps | forearms | dumbbell | strength
Push-Ups - Close Triceps Position | triceps | chest,shoulders | body only | strength
Intermediate Hip Flexor and Quad Stretch | quadriceps |  | other | stretching
Lying Hamstring | hamstrings | calves | other | stretching
Kettlebell Arnold Press | shoulders | triceps | kettlebells | strength
Lying Cambered Barbell Row | middle back | biceps,lats,traps | barbell | strength
Double Leg Butt Kick | quadriceps | abductors,adductors,calves,glutes,hamstrings | body only | plyometrics
Standing Towel Triceps Extension | triceps |  | body only | strength
Side Standing Long Jump | quadriceps | calves,glutes,hamstrings | None | plyometrics
Power Snatch from Blocks | quadriceps | calves,forearms,glutes,hamstrings,lower back,shoulders,traps,triceps | barbell | olympic weightlifting
Landmine Linear Jammer | shoulders | abdominals,calves,chest,hamstrings,quadriceps,triceps | barbell | strength
Standing Biceps Stretch | biceps | chest,shoulders | other | stretching
Hamstring Stretch | hamstrings |  | None | stretching
Cable Incline Pushdown | lats |  | cable | strength
Barbell Rear Delt Row | shoulders | biceps,lats,middle back | barbell | strength
One Arm Supinated Dumbbell Triceps Extension | triceps |  | dumbbell | strength
Squat with Bands | quadriceps | adductors,calves,glutes,hamstrings,lower back | barbell | powerlifting
Seated Palm-Up Barbell Wrist Curl | forearms |  | barbell | strength
Dumbbell Lying Rear Lateral Raise | shoulders |  | dumbbell | strength
Chest Push (multiple response) | chest | abdominals,shoulders,triceps | medicine ball | plyometrics
Windmills | abductors | glutes,hamstrings,lower back | None | stretching
Stiff Leg Barbell Good Morning | lower back | glutes,hamstrings | barbell | strength
Reverse Band Sumo Deadlift | hamstrings | abductors,adductors,calves,forearms,glutes,lower back,quadriceps,traps | barbell | powerlifting
Side Lateral Raise | shoulders |  | dumbbell | strength
Deadlift with Bands | lower back | forearms,glutes,hamstrings,middle back,quadriceps,traps | barbell | powerlifting
One-Arm Flat Bench Dumbbell Flye | chest |  | dumbbell | strength
Double Kettlebell Windmill | abdominals | glutes,hamstrings,shoulders,triceps | kettlebells | strength
Side Bridge | abdominals | shoulders | body only | strength
Reverse Crunch | abdominals |  | body only | strength
Downward Facing Balance | glutes | abdominals,hamstrings | exercise ball | strength
Knee Tuck Jump | hamstrings | abductors,adductors,calves,glutes,quadriceps | body only | plyometrics
Tate Press | triceps | chest,shoulders | dumbbell | strength
Close-Grip Standing Barbell Curl | biceps | forearms | barbell | strength
Bench Press with Chains | triceps | chest,lats,shoulders | barbell | powerlifting
Smith Machine One-Arm Upright Row | shoulders | biceps,traps | machine | strength
One-Arm Side Laterals | shoulders |  | dumbbell | strength
Jackknife Sit-Up | abdominals |  | body only | strength
Rear Leg Raises | quadriceps |  | body only | stretching
Calves-SMR | calves |  | foam roll | stretching
Kettlebell Figure 8 | abdominals | hamstrings,shoulders | kettlebells | strength
One Half Locust | quadriceps | abdominals,biceps,chest | None | stretching
Incline Dumbbell Bench With Palms Facing In | chest | shoulders,triceps | dumbbell | strength
Front Box Jump | hamstrings | abductors,adductors,calves,glutes,quadriceps | other | plyometrics
Cable Crunch | abdominals |  | cable | strength
Lunge Sprint | quadriceps | calves,glutes,hamstrings | machine | strength
Handstand Push-Ups | shoulders | triceps | body only | strength
Kettlebell Hang Clean | hamstrings | calves,glutes,lower back,shoulders,traps | kettlebells | strength
Isometric Neck Exercise - Sides | neck |  | body only | strength
Power Stairs | hamstrings | adductors,calves,glutes,lower back,quadriceps,shoulders,traps | other | strongman
Cable Incline Triceps Extension | triceps |  | cable | strength
Linear 3-Part Start Technique | hamstrings | calves,quadriceps | None | plyometrics
Chest And Front Of Shoulder Stretch | chest | shoulders | other | stretching
Seated Head Harness Neck Resistance | neck |  | other | strength
Box Squat with Chains | quadriceps | abductors,adductors,calves,glutes,hamstrings,lower back | barbell | strength
Seated Overhead Stretch | abdominals |  | None | stretching
Depth Jump Leap | quadriceps | abductors,adductors,calves,glutes,hamstrings | other | plyometrics
Fast Skipping | quadriceps | abductors,adductors,calves,glutes,hamstrings | body only | plyometrics
Hip Extension with Bands | glutes | hamstrings | bands | strength
Calf Stretch Hands Against Wall | calves |  | None | stretching
Leverage Deadlift | quadriceps | glutes,hamstrings | machine | strength
Leverage Shrug | traps | forearms | machine | strength
Heaving Snatch Balance | quadriceps | abdominals,forearms,glutes,hamstrings,shoulders,triceps | barbell | olympic weightlifting
Hang Clean | quadriceps | calves,forearms,glutes,hamstrings,lower back,shoulders,traps | barbell | olympic weightlifting
Reverse Grip Triceps Pushdown | triceps |  | cable | strength
Hip Circles (prone) | abductors | adductors | body only | stretching
Wide-Grip Barbell Bench Press | chest | shoulders,triceps | barbell | strength
Kneeling Hip Flexor | quadriceps | quadriceps | None | stretching
Standing Bent-Over Two-Arm Dumbbell Triceps Extension | triceps |  | dumbbell | strength
Incline Dumbbell Flyes - With A Twist | chest | shoulders | dumbbell | strength
Groiners | adductors |  | body only | stretching
Seated Leg Curl | hamstrings |  | machine | strength
Dynamic Chest Stretch | chest | middle back | None | stretching
Overhead Squat | quadriceps | abdominals,calves,glutes,hamstrings,lower back,shoulders,triceps | barbell | olympic weightlifting
Lying High Bench Barbell Curl | biceps |  | barbell | strength
Band Good Morning | hamstrings | glutes,lower back | bands | powerlifting
Lying T-Bar Row | middle back | biceps,lats | machine | strength
Kneeling Single-Arm High Pulley Row | lats | biceps,middle back | cable | strength
Smith Machine Incline Bench Press | chest | shoulders,triceps | machine | strength
Svend Press | chest | forearms,shoulders,triceps | other | strength
Floor Glute-Ham Raise | hamstrings | calves,glutes | None | strength
Snatch Shrug | traps | forearms,shoulders | barbell | olympic weightlifting
Lying Leg Curls | hamstrings |  | machine | strength
Power Clean from Blocks | hamstrings | quadriceps | barbell | olympic weightlifting
Front Cone Hops (or hurdle hops) | quadriceps | abductors,adductors,calves,glutes,hamstrings | other | plyometrics
Weighted Bench Dip | triceps | chest,shoulders | other | strength
Barbell Ab Rollout - On Knees | abdominals | lower back,shoulders | barbell | strength
All Fours Quad Stretch | quadriceps | quadriceps | body only | stretching
Lying Dumbbell Tricep Extension | triceps | chest,shoulders | dumbbell | strength
Single-Arm Linear Jammer | shoulders | chest,triceps | barbell | strength
Front Barbell Squat To A Bench | quadriceps | calves,glutes,hamstrings | barbell | strength
Zercher Squats | quadriceps | calves,glutes,hamstrings | barbell | strength
One-Legged Cable Kickback | glutes | hamstrings | cable | strength
Circus Bell | shoulders | forearms,glutes,hamstrings,lower back,traps,triceps | other | strongman
Seated Dumbbell Palms-Up Wrist Curl | forearms |  | dumbbell | strength
Internal Rotation with Band | shoulders |  | bands | strength
Seated Band Hamstring Curl | hamstrings |  | other | strength
Smith Machine Hip Raise | abdominals |  | machine | strength
Cable Judo Flip | abdominals |  | cable | strength
Barbell Full Squat | quadriceps | calves,glutes,hamstrings,lower back | barbell | strength
Standing Dumbbell Straight-Arm Front Delt Raise Above Head | shoulders |  | dumbbell | strength
Gironda Sternum Chins | lats | biceps,middle back | other | strength
Rickshaw Deadlift | quadriceps | forearms,glutes,hamstrings,lower back,traps | other | strongman
One Arm Dumbbell Bench Press | chest | shoulders,triceps | dumbbell | strength
Farmer's Walk | forearms | abdominals,glutes,hamstrings,lower back,quadriceps,traps | other | strongman
Seated Glute | glutes | adductors | body only | stretching
Dips - Triceps Version | triceps | chest,shoulders | body only | strength
One-Arm Kettlebell Clean and Jerk | shoulders |  | kettlebells | strength
Alternate Heel Touchers | abdominals |  | body only | strength
Chest Push (single response) | chest | abdominals,shoulders,triceps | medicine ball | plyometrics
Decline Oblique Crunch | abdominals |  | body only | strength
Inchworm | hamstrings |  | body only | stretching
Lying Supine Dumbbell Curl | biceps |  | dumbbell | strength
Cable Shoulder Press | shoulders | triceps | cable | strength
Running, Treadmill | quadriceps | calves,glutes,hamstrings | machine | cardio
Wind Sprints | abdominals |  | body only | strength
External Rotation | shoulders |  | dumbbell | strength
Elbow Circles | shoulders | traps | None | stretching
Clean Deadlift | hamstrings | forearms,glutes,lower back,middle back,quadriceps,traps | barbell | olympic weightlifting
Close-Grip Push-Up off of a Dumbbell | triceps | abdominals,chest,shoulders | body only | strength
Cable Hip Adduction | quadriceps |  | cable | strength
Dumbbell Lying One-Arm Rear Lateral Raise | shoulders | middle back | dumbbell | strength
Pin Presses | triceps | chest,forearms,lats,middle back,shoulders | barbell | powerlifting
Frankenstein Squat | quadriceps | abdominals,calves,glutes,hamstrings | barbell | olympic weightlifting
Zottman Preacher Curl | biceps | forearms | dumbbell | strength
Dumbbell Step Ups | quadriceps | calves,glutes,hamstrings | dumbbell | strength
Body Tricep Press | triceps |  | body only | strength
Plie Dumbbell Squat | quadriceps | abdominals,calves,glutes,hamstrings | dumbbell | strength
Standing Rope Crunch | abdominals |  | cable | strength
Hip Flexion with Band | quadriceps |  | bands | strength
Reverse Band Deadlift | lower back | abductors,adductors,calves,glutes,hamstrings,quadriceps | barbell | powerlifting
Conan's Wheel | quadriceps | abdominals,biceps,calves,forearms,lower back,shoulders,traps | other | strongman
Bent Over Two-Dumbbell Row | middle back | biceps,lats,shoulders | dumbbell | strength
One-Arm Kettlebell Swings | hamstrings | calves,glutes,lower back,shoulders | kettlebells | strength
Pallof Press With Rotation | abdominals | chest,shoulders,triceps | cable | strength
Standing Front Barbell Raise Over Head | shoulders |  | barbell | strength
One-Arm Kettlebell Split Jerk | shoulders | glutes,hamstrings,quadriceps,triceps | kettlebells | strength
Overhead Stretch | abdominals | chest,forearms,lats,triceps | None | stretching
Lying Crossover | abductors |  | body only | stretching
Cable Reverse Crunch | abdominals |  | cable | strength
Calf-Machine Shoulder Shrug | traps |  | machine | strength
Oblique Crunches | abdominals |  | body only | strength
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl | forearms |  | cable | strength
Overhead Cable Curl | biceps |  | cable | strength
Two-Arm Kettlebell Clean | shoulders | calves,glutes,hamstrings,lower back,traps | kettlebells | strength
Rocking Standing Calf Raise | calves |  | barbell | strength
Front Plate Raise | shoulders |  | other | strength
Quadriceps-SMR | quadriceps |  | foam roll | stretching
Dumbbell Squat | quadriceps | calves,glutes,hamstrings,lower back | dumbbell | strength
Low Cable Triceps Extension | triceps |  | cable | strength
Standing One-Arm Dumbbell Curl Over Incline Bench | biceps |  | dumbbell | strength
Snatch Balance | quadriceps | calves,glutes,hamstrings,shoulders,triceps | barbell | olympic weightlifting
Concentration Curls | biceps | forearms | dumbbell | strength
Standing Soleus And Achilles Stretch | calves |  | None | stretching
Cable Crossover | chest | shoulders | cable | strength
Barbell Hack Squat | quadriceps | calves,forearms,hamstrings | barbell | strength
Front Leg Raises | hamstrings |  | body only | stretching
Spinal Stretch | middle back | lats,lower back,neck,traps | None | stretching
Front Two-Dumbbell Raise | shoulders |  | dumbbell | strength
Band Skull Crusher | triceps |  | bands | strength
Pushups (Close and Wide Hand Positions) | chest | shoulders,triceps | body only | strength
Cable Preacher Curl | biceps | forearms | cable | strength
Cable Russian Twists | abdominals |  | cable | strength
Leg Pull-In | abdominals |  | body only | strength
Kettlebell Thruster | shoulders | quadriceps,triceps | kettlebells | strength
External Rotation with Cable | shoulders |  | cable | strength
Power Jerk | quadriceps | abdominals,calves,glutes,hamstrings,shoulders,triceps | barbell | olympic weightlifting
Upper Back-Leg Grab | hamstrings | lower back,middle back | None | stretching
Dumbbell Bench Press | chest | shoulders,triceps | dumbbell | strength
Calf Raise On A Dumbbell | calves |  | dumbbell | strength
Crunch - Hands Overhead | abdominals |  | body only | strength
Lunge Pass Through | hamstrings | calves,glutes,quadriceps | kettlebells | strength
Single-Leg Hop Progression | quadriceps | abductors,adductors,calves,hamstrings | other | plyometrics
Lying Rear Delt Raise | shoulders |  | dumbbell | strength
Cross Over - With Bands | chest | biceps,shoulders | bands | strength
Push-Ups With Feet Elevated | chest | shoulders,triceps | body only | strength
Dumbbell One-Arm Upright Row | shoulders | biceps,traps | dumbbell | strength
Seated Cable Rows | middle back | biceps,lats,shoulders | cable | strength
Kettlebell Pistol Squat | quadriceps | calves,glutes,hamstrings,shoulders | kettlebells | strength
Rope Climb | lats | biceps,forearms,middle back,shoulders | other | strength
Backward Medicine Ball Throw | shoulders |  | medicine ball | plyometrics
Donkey Calf Raises | calves |  | other | strength
Posterior Tibialis Stretch | calves |  | other | stretching
Snatch Deadlift | hamstrings | forearms,glutes,hamstrings,lower back,quadriceps,traps | barbell | olympic weightlifting
Lateral Raise - With Bands | shoulders |  | bands | strength
Standing Palm-In One-Arm Dumbbell Press | shoulders | triceps | dumbbell | strength
Bent-Knee Hip Raise | abdominals |  | body only | strength
Spell Caster | abdominals | glutes,shoulders | dumbbell | strength
Seated Biceps | biceps | chest,shoulders | body only | stretching
Seated Leg Tucks | abdominals |  | body only | strength
One-Arm Long Bar Row | middle back | biceps,lats | barbell | strength
Bicycling, Stationary | quadriceps | calves,glutes,hamstrings | machine | cardio
Kneeling Forearm Stretch | forearms |  | None | stretching
London Bridges | lats | biceps,forearms,middle back | other | strength
Standing Palms-In Dumbbell Press | shoulders | triceps | dumbbell | strength
Stiff-Legged Barbell Deadlift | hamstrings | glutes,lower back | barbell | strength
Squats - With Bands | quadriceps | calves,glutes,hamstrings,lower back | bands | strength
Front Squat (Clean Grip) | quadriceps | abdominals,glutes,hamstrings | barbell | strength
Anti-Gravity Press | shoulders | middle back,traps,triceps | barbell | strength
Flat Bench Cable Flyes | chest |  | cable | strength
Single-Leg High Box Squat | quadriceps | glutes,hamstrings | other | strength
One Arm Pronated Dumbbell Triceps Extension | triceps |  | dumbbell | strength
One-Arm Kettlebell Jerk | shoulders | calves,quadriceps,triceps | kettlebells | strength
Wide-Grip Pulldown Behind The Neck | lats | biceps,middle back,shoulders | cable | strength
Leverage High Row | middle back | lats | machine | strength
Plank | abdominals |  | body only | strength
Front Barbell Squat | quadriceps | calves,glutes,hamstrings | barbell | strength
Snatch from Blocks | quadriceps | calves,forearms,glutes,hamstrings,lower back,shoulders,traps,triceps | barbell | olympic weightlifting
Smith Machine Calf Raise | calves |  | machine | strength
Stride Jump Crossover | quadriceps | abductors,adductors,calves,hamstrings | other | plyometrics
Cable Rope Rear-Delt Rows | shoulders | biceps,middle back | cable | strength
Supine One-Arm Overhead Throw | abdominals | chest,lats,shoulders | medicine ball | plyometrics
Dumbbell Alternate Bicep Curl | biceps | forearms | dumbbell | strength
Squat Jerk | quadriceps | calves,glutes,hamstrings,shoulders,triceps | barbell | strength
Smith Machine Upright Row | traps | biceps,middle back,shoulders | machine | strength
Anterior Tibialis-SMR | calves |  | other | stretching
Dumbbell Scaption | shoulders | traps | dumbbell | strength
Standing Dumbbell Calf Raise | calves |  | dumbbell | strength
Linear Acceleration Wall Drill | hamstrings | calves,glutes,quadriceps | None | plyometrics
3/4 Sit-Up | abdominals |  | body only | strength
Sled Reverse Flye | shoulders |  | other | strength
One-Arm Incline Lateral Raise | shoulders |  | dumbbell | strength
Inverted Row | middle back | lats | None | strength
90/90 Hamstring | hamstrings | calves | body only | stretching
Kettlebell Seesaw Press | shoulders | triceps | kettlebells | strength
Air Bike | abdominals |  | body only | strength
Hip Lift with Band | glutes | calves,hamstrings | bands | powerlifting
Cocoons | abdominals |  | body only | strength
Standing Biceps Cable Curl | biceps |  | cable | strength
Yoke Walk | quadriceps | abdominals,abductors,adductors,calves,glutes,hamstrings,lower back | other | strongman
Skating | quadriceps | abductors,adductors,calves,glutes,hamstrings | other | cardio
Quad Stretch | quadriceps |  | other | stretching
Middle Back Shrug | middle back |  | dumbbell | strength
Dumbbell Seated Box Jump | quadriceps | calves,glutes,hamstrings | dumbbell | plyometrics
Barbell Seated Calf Raise | calves |  | barbell | strength
Lying Close-Grip Barbell Triceps Extension Behind The Head | triceps |  | barbell | strength
Side Jackknife | abdominals |  | body only | strength
Suspended Split Squat | quadriceps | abductors,adductors,calves,glutes,hamstrings | other | strength
Advanced Kettlebell Windmill | abdominals | glutes,hamstrings,shoulders | kettlebells | strength
Standing Hamstring and Calf Stretch | hamstrings |  | other | stretching
Cable Hammer Curls - Rope Attachment | biceps |  | cable | strength
Push Press - Behind the Neck | shoulders | calves,quadriceps,triceps | barbell | olympic weightlifting
Lying Cable Curl | biceps |  | cable | strength
Side to Side Box Shuffle | quadriceps | abductors,adductors,calves,hamstrings | other | plyometrics
One Arm Against Wall | lats |  | None | stretching
Butterfly | chest |  | machine | strength
Foot-SMR | calves |  | other | stretching
Alternating Kettlebell Press | shoulders | triceps | kettlebells | strength
Child's Pose | lower back | glutes,middle back | None | stretching
Standing Cable Chest Press | chest | shoulders,triceps | cable | strength
Plyo Kettlebell Pushups | chest | shoulders,triceps | kettlebells | strength
Good Morning | hamstrings | abdominals,glutes,lower back | barbell | powerlifting
Barbell Glute Bridge | glutes | calves,hamstrings | barbell | powerlifting
Wide-Grip Decline Barbell Bench Press | chest | shoulders,triceps | barbell | strength
Ab Roller | abdominals | shoulders | other | strength
Scapular Pull-Up | traps | lats,middle back | None | strength
One-Arm Overhead Kettlebell Squats | quadriceps | calves,glutes,hamstrings,shoulders | kettlebells | strength
Lying Close-Grip Barbell Triceps Press To Chin | triceps |  | e-z curl bar | strength
Snatch Pull | hamstrings | calves,glutes,lower back,quadriceps,traps | barbell | strength
Chain Press | chest | shoulders,triceps | other | powerlifting
Wide-Grip Decline Barbell Pullover | chest | shoulders,triceps | barbell | strength
Hurdle Hops | hamstrings | abductors,adductors,calves,glutes,hamstrings | other | plyometrics
Body-Up | triceps | abdominals,forearms | body only | strength
Squat with Plate Movers | quadriceps | abductors,adductors,calves,glutes,hamstrings | barbell | strength
Leg Extensions | quadriceps |  | machine | strength
World's Greatest Stretch | hamstrings | calves,glutes,quadriceps | None | stretching
Close-Grip Front Lat Pulldown | lats | biceps,middle back,shoulders | cable | strength
Reverse Hyperextension | hamstrings | calves,glutes | machine | strength
Dumbbell Incline Shoulder Raise | shoulders | triceps | dumbbell | strength
Pelvic Tilt Into Bridge | lower back |  | None | stretching
Close-Grip Dumbbell Press | triceps | chest,shoulders | dumbbell | strength
Moving Claw Series | hamstrings | calves,quadriceps | None | plyometrics
Standing Concentration Curl | biceps | forearms | dumbbell | strength
Extended Range One-Arm Kettlebell Floor Press | chest | shoulders,triceps | kettlebells | strength
Rocket Jump | quadriceps | calves,hamstrings | body only | plyometrics
Bench Press - With Bands | chest | shoulders,triceps | bands | strength
Low Pulley Row To Neck | shoulders | biceps,middle back,traps | cable | strength
Incline Bench Pull | middle back | lats,shoulders | barbell | strength
Palms-Down Dumbbell Wrist Curl Over A Bench | forearms |  | dumbbell | strength
Reverse Grip Bent-Over Rows | middle back | biceps,lats,shoulders | barbell | strength
Incline Push-Up Reverse Grip | chest | abdominals,shoulders,triceps | body only | strength
Crucifix | shoulders | forearms | other | strongman
Trail Running/Walking | quadriceps | calves,glutes,hamstrings | None | cardio
Standing Hip Circles | abductors | adductors | body only | stretching
Step-up with Knee Raise | glutes | hamstrings,quadriceps | body only | strength
Bodyweight Squat | quadriceps | glutes,hamstrings | body only | strength
Seated Dumbbell Palms-Down Wrist Curl | forearms |  | dumbbell | strength
One-Arm Dumbbell Row | middle back | biceps,lats,shoulders | dumbbell | strength
Machine Triceps Extension | triceps |  | machine | strength
Barbell Squat To A Bench | quadriceps | calves,glutes,hamstrings,lower back | barbell | strength
Elbow to Knee | abdominals |  | body only | strength
Standing Dumbbell Upright Row | traps | biceps,shoulders | dumbbell | strength
Dynamic Back Stretch | lats |  | None | stretching
Incline Dumbbell Curl | biceps |  | dumbbell | strength
Standing One-Arm Dumbbell Triceps Extension | triceps | chest,shoulders | dumbbell | strength
Straight Raises on Incline Bench | shoulders | traps | barbell | strength
The Straddle | hamstrings | adductors,calves | None | stretching
Dumbbell Incline Row | middle back | biceps,forearms,lats,shoulders | dumbbell | strength
Clean Pull | quadriceps | forearms,glutes,hamstrings,lower back,traps | barbell | olympic weightlifting
Single-Arm Push-Up | chest | shoulders,triceps | body only | strength
Lying One-Arm Lateral Raise | shoulders |  | dumbbell | strength
Incline Dumbbell Flyes | chest | shoulders | dumbbell | strength
Leg-Over Floor Press | chest | shoulders,triceps | kettlebells | strength
Band Good Morning (Pull Through) | hamstrings | glutes,lower back | bands | powerlifting
Trap Bar Deadlift | quadriceps | glutes,hamstrings | other | strength
Wide Stance Stiff Legs | hamstrings | adductors,glutes,lower back | barbell | olympic weightlifting
Dumbbell Clean | hamstrings | calves,forearms,glutes,lower back,quadriceps,shoulders,traps | dumbbell | strength
Decline Close-Grip Bench To Skull Crusher | triceps | chest,shoulders | barbell | strength
Seated Dumbbell Curl | biceps |  | dumbbell | strength
Pyramid | lower back | shoulders | exercise ball | stretching
Isometric Neck Exercise - Front And Back | neck |  | body only | strength
Freehand Jump Squat | quadriceps | calves,glutes,hamstrings | body only | strength
Standing Military Press | shoulders | triceps | barbell | strength
Open Palm Kettlebell Clean | hamstrings | glutes,lower back,quadriceps,shoulders | kettlebells | strength
Standing Inner-Biceps Curl | biceps |  | dumbbell | strength
Arm Circles | shoulders | traps | None | stretching
Face Pull | shoulders | middle back | cable | strength
Seated Calf Stretch | calves | hamstrings,lower back | None | stretching
Bent-Arm Dumbbell Pullover | chest | lats,shoulders,triceps | dumbbell | strength
Front Incline Dumbbell Raise | shoulders |  | dumbbell | strength
Behind Head Chest Stretch | chest | shoulders | other | stretching
Medicine Ball Scoop Throw | shoulders | abdominals,hamstrings,quadriceps | medicine ball | plyometrics
Hack Squat | quadriceps | calves,glutes,hamstrings | machine | strength
Power Clean | hamstrings | calves,forearms,glutes,lower back,middle back,quadriceps,shoulders,traps,triceps | barbell | strength
Jerk Dip Squat | quadriceps | abdominals,calves | barbell | olympic weightlifting
Clean from Blocks | quadriceps | calves,glutes,hamstrings,shoulders,traps | barbell | olympic weightlifting
Dumbbell Tricep Extension -Pronated Grip | triceps |  | dumbbell | strength
Flutter Kicks | glutes | hamstrings | body only | strength
Seated Front Deltoid | shoulders | chest | body only | stretching
Kipping Muscle Up | lats | abdominals,biceps,forearms,middle back,shoulders,traps,triceps | other | strength
Crossover Reverse Lunge | lower back | abdominals,abductors,glutes,hamstrings,quadriceps | None | stretching
Calf Stretch Elbows Against Wall | calves |  | None | stretching
Bodyweight Walking Lunge | quadriceps | calves,glutes,hamstrings | None | strength
Butt Lift (Bridge) | glutes | hamstrings | body only | strength
Machine Bench Press | chest | shoulders,triceps | machine | strength
Seated Bent-Over Two-Arm Dumbbell Triceps Extension | triceps |  | dumbbell | strength
Barbell Curls Lying Against An Incline | biceps |  | barbell | strength
Hug A Ball | lower back | calves,glutes | exercise ball | stretching
Elevated Back Lunge | quadriceps | glutes,hamstrings | barbell | strength
Dumbbell Flyes | chest |  | dumbbell | strength
Front Raise And Pullover | chest | lats,shoulders,triceps | barbell | strength
Chain Handle Extension | triceps |  | other | powerlifting
Lying Machine Squat | quadriceps | calves,glutes,hamstrings | machine | strength
Sled Overhead Triceps Extension | triceps |  | other | strength
Barbell Guillotine Bench Press | chest | shoulders,triceps | barbell | strength
Cable Wrist Curl | forearms |  | cable | strength
Seated Cable Shoulder Press | shoulders | triceps | cable | strength
Decline Crunch | abdominals |  | body only | strength
Back Flyes - With Bands | shoulders | middle back,triceps | bands | strength
Split Snatch | hamstrings | calves,forearms,glutes,hamstrings,lower back,quadriceps,shoulders,traps,triceps | barbell | olympic weightlifting
Calf Raises - With Bands | calves |  | bands | strength
Box Jump (Multiple Response) | hamstrings | abductors,adductors,calves,glutes,quadriceps | other | plyometrics
Bicycling | quadriceps | calves,glutes,hamstrings | other | cardio
Seated Palms-Down Barbell Wrist Curl | forearms |  | barbell | strength
Arnold Dumbbell Press | shoulders | triceps | dumbbell | strength
Cross Body Hammer Curl | biceps | forearms | dumbbell | strength
Dumbbell Lunges | quadriceps | calves,glutes,hamstrings | dumbbell | strength
Bent Over Barbell Row | middle back | biceps,lats,shoulders | barbell | strength
Bent Over Two-Arm Long Bar Row | middle back | biceps,lats | barbell | strength
Split Clean | quadriceps | calves,forearms,glutes,hamstrings,lower back,shoulders,traps | barbell | olympic weightlifting
Close-Grip EZ-Bar Curl with Band | biceps | forearms | e-z curl bar | strength
Seated Barbell Military Press | shoulders | triceps | barbell | strength
Chair Squat | quadriceps | calves,glutes,hamstrings | machine | strength
Cable Lying Triceps Extension | triceps |  | cable | strength
Barbell Curl | biceps | forearms | barbell | strength
Seated Flat Bench Leg Pull-In | abdominals |  | body only | strength
Runner's Stretch | hamstrings | calves | None | stretching
Leverage Incline Chest Press | chest | shoulders,triceps | machine | strength
Bent-Arm Barbell Pullover | lats | chest,lats,shoulders,triceps | barbell | strength
Groin and Back Stretch | adductors |  | None | stretching
Incline Push-Up Depth Jump | chest | shoulders,triceps | other | plyometrics
Clean | hamstrings | calves,forearms,glutes,lower back,quadriceps,shoulders,traps | barbell | olympic weightlifting
Bent Over One-Arm Long Bar Row | middle back | biceps,lats,lower back,traps | barbell | strength
Side Wrist Pull | shoulders | forearms,lats | None | stretching
Barbell Hip Thrust | glutes | calves,hamstrings | barbell | powerlifting
Kneeling Jump Squat | glutes | calves,hamstrings,quadriceps | barbell | olympic weightlifting
